Disease,Description,Treatment,Advice
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.1 mg/kg IM) once and Oxytetracycline (10 1.1 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (503 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.1 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 1.2 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.0 mg/kg SC) or Enrofloxacin (5 1.0 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.0 mg/kg IM) once and Oxytetracycline (10 1.0 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.0 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (520 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.0 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.0 mg/kg SC) or Enrofloxacin (5 1.0 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.9 mg/kg IM) once and Oxytetracycline (10 0.9 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (574 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 0.9 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.8 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.1 mg/kg SC) or Enrofloxacin (5 1.1 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.9 mg/kg IM) once and Oxytetracycline (10 0.9 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (522 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 0.9 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.2 mg/kg SC) or Enrofloxacin (5 1.2 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.9 mg/kg IM) once and Oxytetracycline (10 0.9 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.1 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (594 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.0 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 0.9 mg/kg SC) or Enrofloxacin (5 0.9 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 1.1 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.0 mg/kg IM) once and Oxytetracycline (10 1.0 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (555 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.0 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 1.0 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 0.9 mg/kg SC) or Enrofloxacin (5 0.9 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 1.2 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.0 mg/kg IM) once and Oxytetracycline (10 1.0 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.1 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (577 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.0 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 1.2 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.2 mg/kg SC) or Enrofloxacin (5 1.2 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 1.2 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.1 mg/kg IM) once and Oxytetracycline (10 1.1 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.0 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (502 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.2 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 1.2 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.1 mg/kg SC) or Enrofloxacin (5 1.1 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.0 mg/kg IM) once and Oxytetracycline (10 1.0 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (404 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 0.9 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.1 mg/kg SC) or Enrofloxacin (5 1.1 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.8 mg/kg IM) once and Oxytetracycline (10 0.8 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.1 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (563 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 0.9 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.1 mg/kg SC) or Enrofloxacin (5 1.1 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.8 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.9 mg/kg IM) once and Oxytetracycline (10 0.9 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (553 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.2 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.9 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 0.9 mg/kg SC) or Enrofloxacin (5 0.9 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 1.2 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 1.1 mg/kg IM) once and Oxytetracycline (10 1.1 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 0.9 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (434 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.1 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 1.0 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 0.9 mg/kg SC) or Enrofloxacin (5 0.9 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.9 mg/kg IM) once and Oxytetracycline (10 0.9 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
Bovine Viral Diarrhea,"Watery diarrhea, Fever, Loss of appetite, Nasal discharge, Reduced fertility",Supportive therapy with electrolytes and NSAIDs like Meloxicam (0.5 1.2 mg/kg IM).,Vaccination and biosecurity measures to prevent spread.
Milk Fever,"Muscle weakness, Cold ears, Loss of balance, Inability to stand, Depressed appetite",IV infusion of Calcium Gluconate (451 ml) over 10 minutes.,Proper mineral supplementation pre-calving.
Lumpy Skin Disease,"Skin nodules, High fever, Nasal discharge, Swollen lymph nodes, Lameness",Oxytetracycline (10 1.0 mg/kg IM) for 5 days and wound management.,Vaccinate and control insect vectors like mosquitoes.
Bloat,"Distended abdomen, Difficulty breathing, Excessive salivation, Kicking at stomach, Sudden collapse",Poloxalene (25 g per day) or Trocar insertion in severe cases.,Avoid excessive legume intake and provide proper grazing management.
Mastitis,"Swollen udder, Pain, Decreased milk production, Redness, Heat in udder",Intramammary infusion of Cloxacillin (200 mg per quarter) for 3 days.,Maintain proper milking hygiene and ensure clean bedding for cows.
Foot and Mouth Disease,"High fever, Blisters in mouth, Blisters on hooves, Lameness, Drooling",Supportive therapy with Flunixin Meglumine (2 0.8 mg/kg IM) and fluid therapy.,Vaccinate regularly and restrict animal movement during outbreaks.
Black Quarter,"Sudden lameness, Swelling in affected limb, High fever, Loss of appetite, Death within 24 hours","Penicillin G (40,000 IU/kg IM) for 5 days.",Annual vaccination and proper carcass disposal to prevent spread.
Bovine Respiratory Disease,"Coughing, Nasal discharge, Fever, Labored breathing, Reduced feed intake",Tilmicosin (10 1.0 mg/kg SC) or Enrofloxacin (5 1.0 mg/kg IM) for 3 days.,Ensure proper ventilation and reduce stress in transported cattle.
Trypanosomiasis,"Weight loss, Anemia, Weakness, Swollen lymph nodes, Lethargy",Diminazene Aceturate (3.5 0.9 mg/kg IM) with supportive iron therapy.,Control tsetse flies using insecticides and avoid infested areas.
Theileriosis,"High fever, Swollen lymph nodes, Anemia, Jaundice, Weakness",Buparvaquone (2.5 0.8 mg/kg IM) once and Oxytetracycline (10 0.8 mg/kg IM) for 5 days.,Regular tick control using acaricides and vaccination.
